date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:06	13332/13332	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:04%20GMT	http://www.basantrubber.net/aboutus/ResearchandDevelopment	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/aboutus/ResearchandDevelopment.html	(from http://www.basantrubber.net/)
19:54:06	13071/13071	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:05%20GMT	http://www.basantrubber.net/aboutus/OurFacilities	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/aboutus/OurFacilities.html	(from http://www.basantrubber.net/)
19:54:07	13940/13940	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:05%20GMT	http://www.basantrubber.net/products/RailwaysLocomotives	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/products/RailwaysLocomotives.html	(from http://www.basantrubber.net/)
19:54:08	12571/12571	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:07%20GMT	http://www.basantrubber.net/products/RailwaysWagons	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/products/RailwaysWagons.html	(from http://www.basantrubber.net/)
19:54:09	13575/13575	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:07%20GMT	http://www.basantrubber.net/products/RailwaysCoaches	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/products/RailwaysCoaches.html	(from http://www.basantrubber.net/)
19:54:09	12659/12659	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:08%20GMT	http://www.basantrubber.net/products/CivilEngineering	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/products/CivilEngineering.html	(from http://www.basantrubber.net/)
19:54:10	12516/12516	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:08%20GMT	http://www.basantrubber.net/products/Marine	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/products/Marine.html	(from http://www.basantrubber.net/)
19:54:10	12597/12597	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:10%20GMT	http://www.basantrubber.net/products/RubberHoses	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/products/RubberHoses.html	(from http://www.basantrubber.net/)
19:54:11	12906/12906	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:10%20GMT	http://www.basantrubber.net/products/RubberProfiles	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/products/RubberProfiles.html	(from http://www.basantrubber.net/)
19:54:12	13156/13156	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:11%20GMT	http://www.basantrubber.net/products/IndustrialApplication	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/products/IndustrialApplication.html	(from http://www.basantrubber.net/)
19:54:12	15610/15610	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:11%20GMT	http://www.basantrubber.net/services	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/services.html	(from http://www.basantrubber.net/)
19:54:13	13163/13163	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:12%20GMT	http://www.basantrubber.net/more/OurClients	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/more/OurClients.html	(from http://www.basantrubber.net/)
19:54:14	18513/18513	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:12%20GMT	http://www.basantrubber.net/more/Careers	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/more/Careers.html	(from http://www.basantrubber.net/)
19:54:14	17507/17507	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:24:13%20GMT	http://www.basantrubber.net/more/ContactUs	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/more/ContactUs.html	(from http://www.basantrubber.net/)
19:54:32	121361/121361	---M--	200	added ('OK')	image/jpeg	etag:%2266f5dedeab64d51:0%22	http://www.basantrubber.net/images/sliders/banner.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/sliders/banner.jpg	(from http://www.basantrubber.net/)
19:54:49	103630/103630	---M--	200	added ('OK')	image/jpeg	etag:%22ffb7e3deab64d51:0%22	http://www.basantrubber.net/images/sliders/mobile-s1.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/sliders/mobile-s1.jpg	(from http://www.basantrubber.net/)
